name,code,ticker_yf,market
일정실업,008500,008500.KS,KOSPI
일진다이아,081000,081000.KS,KOSPI
일진디스플,020760,020760.KS,KOSPI
일진전기,103590,103590.KS,KOSPI
일진하이솔루스,271940,271940.KS,KOSPI
일진홀딩스,015860,015860.KS,KOSPI
잇츠한불,226320,226320.KS,KOSPI
자이에스앤디,317400,317400.KS,KOSPI
자화전자,033240,033240.KS,KOSPI
전방,000950,000950.KS,KOSPI
전진건설로봇,079900,079900.KS,KOSPI
제이알글로벌리츠,348950,348950.KS,KOSPI
제이에스코퍼레이션,194370,194370.KS,KOSPI
제일기획,030000,030000.KS,KOSPI
제일약품,271980,271980.KS,KOSPI
제일연마,001560,001560.KS,KOSPI
제일파마홀딩스,002620,002620.KS,KOSPI
제주은행,006220,006220.KS,KOSPI
제주항공,089590,089590.KS,KOSPI
조광페인트,004910,004910.KS,KOSPI
조광피혁,004700,004700.KS,KOSPI
조비,001550,001550.KS,KOSPI
조선내화,462520,462520.KS,KOSPI
조선선재,120030,120030.KS,KOSPI
조일알미늄,018470,018470.KS,KOSPI
조흥,002600,002600.KS,KOSPI
종근당,185750,185750.KS,KOSPI
종근당바이오,063160,063160.KS,KOSPI
종근당홀딩스,001630,001630.KS,KOSPI
주성코퍼레이션,109070,109070.KS,KOSPI
주연테크,044380,044380.KS,KOSPI
지누스,013890,013890.KS,KOSPI
지엠비코리아,013870,013870.KS,KOSPI
지역난방공사,071320,071320.KS,KOSPI
진도,088790,088790.KS,KOSPI
진양산업,003780,003780.KS,KOSPI
진양폴리,010640,010640.KS,KOSPI
진양홀딩스,100250,100250.KS,KOSPI
진양화학,051630,051630.KS,KOSPI
진에어,272450,272450.KS,KOSPI
진원생명과학,011000,011000.KS,KOSPI
진흥기업,002780,002780.KS,KOSPI
진흥기업2우B,002787,002787.KS,KOSPI
진흥기업우B,002785,002785.KS,KOSPI
차AI헬스케어,025620,025620.KS,KOSPI
참엔지니어링,009310,009310.KS,KOSPI
천일고속,000650,000650.KS,KOSPI
체시스,033250,033250.KS,KOSPI
카카오,035720,035720.KS,KOSPI
카카오뱅크,323410,323410.KS,KOSPI
카카오페이,377300,377300.KS,KOSPI
카프로,006380,006380.KS,KOSPI
케이뱅크,279570,279570.KS,KOSPI
케이비아이동국실업,001620,001620.KS,KOSPI
케이씨,029460,029460.KS,KOSPI
케이씨텍,281820,281820.KS,KOSPI
케이카,381970,381970.KS,KOSPI
케이탑리츠,145270,145270.KS,KOSPI
코람코더원리츠,417310,417310.KS,KOSPI
코람코라이프인프라리츠,357120,357120.KS,KOSPI
코리아써우,007815,007815.KS,KOSPI
코리아써키트,007810,007810.KS,KOSPI
코리아써키트2우B,00781K,00781K.KS,KOSPI
코리안리,003690,003690.KS,KOSPI
코스맥스,192820,192820.KS,KOSPI
코스맥스비티아이,044820,044820.KS,KOSPI
코스모신소재,005070,005070.KS,KOSPI
코스모화학,005420,005420.KS,KOSPI
코아스,071950,071950.KS,KOSPI
코오롱,002020,002020.KS,KOSPI
코오롱ENP,138490,138490.KS,KOSPI
코오롱글로벌,003070,003070.KS,KOSPI
코오롱글로벌우,003075,003075.KS,KOSPI
코오롱우,002025,002025.KS,KOSPI
코오롱인더,120110,120110.KS,KOSPI
코오롱인더우,120115,120115.KS,KOSPI
코웨이,021240,021240.KS,KOSPI
콘텐트리중앙,036420,036420.KS,KOSPI
콜마홀딩스,024720,024720.KS,KOSPI
쿠쿠홀딩스,192400,192400.KS,KOSPI
쿠쿠홈시스,284740,284740.KS,KOSPI
크라운제과,264900,264900.KS,KOSPI
크라운제과우,26490K,26490K.KS,KOSPI
크라운해태홀딩스,005740,005740.KS,KOSPI
크라운해태홀딩스우,005745,005745.KS,KOSPI
크래프톤,259960,259960.KS,KOSPI
키다리스튜디오,020120,020120.KS,KOSPI
키움증권,039490,039490.KS,KOSPI
태경비케이,014580,014580.KS,KOSPI
태경산업,015890,015890.KS,KOSPI
태경케미컬,006890,006890.KS,KOSPI
태광산업,003240,003240.KS,KOSPI
태림포장,011280,011280.KS,KOSPI
태양금속,004100,004100.KS,KOSPI
태양금속우,004105,004105.KS,KOSPI
태영건설,009410,009410.KS,KOSPI
태영건설우,009415,009415.KS,KOSPI
태원물산,001420,001420.KS,KOSPI
테이팩스,055490,055490.KS,KOSPI
텔코웨어,078000,078000.KS,KOSPI
토니모리,214420,214420.KS,KOSPI
티에이치엔,019180,019180.KS,KOSPI
티엠씨,217590,217590.KS,KOSPI
티와이홀딩스,363280,363280.KS,KOSPI
티와이홀딩스우,36328K,36328K.KS,KOSPI
티웨이항공,091810,091810.KS,KOSPI
티웨이홀딩스,004870,004870.KS,KOSPI
파라다이스,034230,034230.KS,KOSPI
파미셀,005690,005690.KS,KOSPI
팜스코,036580,036580.KS,KOSPI
팜젠사이언스,004720,004720.KS,KOSPI
팬오션,028670,028670.KS,KOSPI
퍼스텍,010820,010820.KS,KOSPI
퍼시스,016800,016800.KS,KOSPI
페이퍼코리아,001020,001020.KS,KOSPI
평화산업,090080,090080.KS,KOSPI
평화홀딩스,010770,010770.KS,KOSPI
포스코DX,022100,022100.KS,KOSPI
포스코스틸리온,058430,058430.KS,KOSPI
포스코인터내셔널,047050,047050.KS,KOSPI
포스코퓨처엠,003670,003670.KS,KOSPI
풀무원,017810,017810.KS,KOSPI
풍산,103140,103140.KS,KOSPI
풍산홀딩스,005810,005810.KS,KOSPI
프레스티지바이오파마,950210,950210.KS,KOSPI
플레이그램,009810,009810.KS,KOSPI
하나금융지주,086790,086790.KS,KOSPI
하나제약,293480,293480.KS,KOSPI
하나투어,039130,039130.KS,KOSPI
하이브,352820,352820.KS,KOSPI
하이스틸,071090,071090.KS,KOSPI
하이트진로,000080,000080.KS,KOSPI
하이트진로2우B,000087,000087.KS,KOSPI
하이트진로홀딩스,000140,000140.KS,KOSPI
하이트진로홀딩스우,000145,000145.KS,KOSPI
한국ANKOR유전,152550,152550.KS,KOSPI
한국가스공사,036460,036460.KS,KOSPI
한국공항,005430,005430.KS,KOSPI
한국금융지주,071050,071050.KS,KOSPI
한국금융지주우,071055,071055.KS,KOSPI
한국내화,010040,010040.KS,KOSPI
한국단자,025540,025540.KS,KOSPI
한국무브넥스,010100,010100.KS,KOSPI
한국석유,004090,004090.KS,KOSPI
한국수출포장,002200,002200.KS,KOSPI
한국쉘석유,002960,002960.KS,KOSPI
한국앤컴퍼니,000240,000240.KS,KOSPI
한국자산신탁,123890,123890.KS,KOSPI
한국전력,015760,015760.KS,KOSPI
한국전자홀딩스,006200,006200.KS,KOSPI
한국제지,027970,027970.KS,KOSPI
한국종합기술,023350,023350.KS,KOSPI
한국주강,025890,025890.KS,KOSPI
한국주철관,000970,000970.KS,KOSPI
한국철강,104700,104700.KS,KOSPI
한국카본,017960,017960.KS,KOSPI
한국콜마,161890,161890.KS,KOSPI
한국타이어앤테크놀로지,161390,161390.KS,KOSPI
한국토지신탁,034830,034830.KS,KOSPI
한국특강,007280,007280.KS,KOSPI
한국항공우주,047810,047810.KS,KOSPI
한국화장품,123690,123690.KS,KOSPI
한국화장품제조,003350,003350.KS,KOSPI
한농화성,011500,011500.KS,KOSPI
한독,002390,002390.KS,KOSPI
한미글로벌,053690,053690.KS,KOSPI
한미반도체,042700,042700.KS,KOSPI
한미사이언스,008930,008930.KS,KOSPI
한미약품,128940,128940.KS,KOSPI
한샘,009240,009240.KS,KOSPI
한섬,020000,020000.KS,KOSPI
한성기업,003680,003680.KS,KOSPI
한세실업,105630,105630.KS,KOSPI
한세엠케이,069640,069640.KS,KOSPI
한세예스24홀딩스,016450,016450.KS,KOSPI
한솔로지스틱스,009180,009180.KS,KOSPI
한솔제지,213500,213500.KS,KOSPI
한솔케미칼,014680,014680.KS,KOSPI
한솔테크닉스,004710,004710.KS,KOSPI
한솔홀딩스,004150,004150.KS,KOSPI
한솔홈데코,025750,025750.KS,KOSPI
한신공영,004960,004960.KS,KOSPI
한신기계,011700,011700.KS,KOSPI
한양증권,001750,001750.KS,KOSPI
한양증권우,001755,001755.KS,KOSPI
한온시스템,018880,018880.KS,KOSPI
한올바이오파마,009420,009420.KS,KOSPI
한익스프레스,014130,014130.KS,KOSPI
한일시멘트,300720,300720.KS,KOSPI
한일철강,002220,002220.KS,KOSPI
한일홀딩스,003300,003300.KS,KOSPI
한전KPS,051600,051600.KS,KOSPI
한전기술,052690,052690.KS,KOSPI
한전산업,130660,130660.KS,KOSPI
한진,002320,002320.KS,KOSPI
한진중공업홀딩스,003480,003480.KS,KOSPI
한진칼,180640,180640.KS,KOSPI
한진칼우,18064K,18064K.KS,KOSPI
한창,005110,005110.KS,KOSPI
한창제지,009460,009460.KS,KOSPI
한컴라이프케어,372910,372910.KS,KOSPI
한화,000880,000880.KS,KOSPI
한화3우B,00088K,00088K.KS,KOSPI
한화갤러리아,452260,452260.KS,KOSPI
한화갤러리아우,45226K,45226K.KS,KOSPI
한화리츠,451800,451800.KS,KOSPI
한화비전,489790,489790.KS,KOSPI
한화생명,088350,088350.KS,KOSPI
한화손해보험,000370,000370.KS,KOSPI
한화솔루션,009830,009830.KS,KOSPI
한화솔루션우,009835,009835.KS,KOSPI
한화시스템,272210,272210.KS,KOSPI
한화에어로스페이스,012450,012450.KS,KOSPI
한화엔진,082740,082740.KS,KOSPI
한화오션,042660,042660.KS,KOSPI
한화투자증권,003530,003530.KS,KOSPI
한화투자증권우,003535,003535.KS,KOSPI
해성디에스,195870,195870.KS,KOSPI
해태제과식품,101530,101530.KS,KOSPI
핸즈코퍼레이션,143210,143210.KS,KOSPI
현대건설,000720,000720.KS,KOSPI
현대건설우,000725,000725.KS,KOSPI
현대그린푸드,453340,453340.KS,KOSPI
현대글로비스,086280,086280.KS,KOSPI
현대로템,064350,064350.KS,KOSPI
현대리바트,079430,079430.KS,KOSPI
현대모비스,012330,012330.KS,KOSPI
현대백화점,069960,069960.KS,KOSPI
현대비앤지스틸,004560,004560.KS,KOSPI
현대약품,004310,004310.KS,KOSPI
현대엘리베이터,017800,017800.KS,KOSPI
현대오토에버,307950,307950.KS,KOSPI
현대위아,011210,011210.KS,KOSPI
현대제철,004020,004020.KS,KOSPI
현대지에프홀딩스,005440,005440.KS,KOSPI
현대차,005380,005380.KS,KOSPI
현대차2우B,005387,005387.KS,KOSPI
현대차3우B,005389,005389.KS,KOSPI
현대차우,005385,005385.KS,KOSPI
현대차증권,001500,001500.KS,KOSPI
현대코퍼레이션,011760,011760.KS,KOSPI
현대코퍼레이션홀딩스,227840,227840.KS,KOSPI
현대퓨처넷,126560,126560.KS,KOSPI
현대해상,001450,001450.KS,KOSPI
현대홈쇼핑,057050,057050.KS,KOSPI
형지엘리트,093240,093240.KS,KOSPI
혜인,003010,003010.KS,KOSPI
호전실업,111110,111110.KS,KOSPI
호텔신라,008770,008770.KS,KOSPI
호텔신라우,008775,008775.KS,KOSPI
화승알앤에이,378850,378850.KS,KOSPI
화승엔터프라이즈,241590,241590.KS,KOSPI
화승인더,006060,006060.KS,KOSPI
화승코퍼레이션,013520,013520.KS,KOSPI
